,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
89,0.705,Pass,12.66707239,mIVSCC-MET,0.750583595,True
90,0.586,Pass,6.979018325,mIVSCC-MET,0.7919084890000001,True
91,0.675,Pass,5.591648296,mIVSCC-MET,0.821279988,True
92,0.617,Pass,3.269828441,mIVSCC-MET,0.6965684740000001,True
93,0.505,Pass,5.139605136,mIVSCC-MET,0.705906006,True
94,0.728,Pass,13.99168544,mIVSCC-MET,0.906102264,True
95,0.517,Pass,10.41990968,mIVSCC-MET,0.9102532740000001,True
96,0.55,Pass,23.59412738,mIVSCC-MET,0.798235287,True
97,0.5720000000000001,Pass,6.645173002000001,mIVSCC-MET,0.774215235,True
98,0.648,Pass,8.128089667000001,mIVSCC-MET,0.788185152,True
99,0.634,Pass,3.9970784630000002,mIVSCC-MET,0.707850891,True
100,0.513,Pass,15.67230748,mIVSCC-MET,0.9648918940000001,True
101,0.39,Pass,16.26337532,mIVSCC-MET,0.85527116,True
102,0.52,Pass,15.19007699,mIVSCC-MET,0.863941353,True
103,0.565,Pass,12.739026800000001,mIVSCC-MET,0.7457705309999999,True
104,0.632,Pass,14.775428,mIVSCC-MET,0.7978660329999999,True
105,0.738,Pass,11.37948894,mIVSCC-MET,0.794982118,True
106,0.561,Pass,7.370198437999999,mIVSCC-MET,0.829103099,True
107,0.486,Pass,22.32958024,mIVSCC-MET,0.784803905,True
108,0.679,Pass,11.53141917,mIVSCC-MET,0.956414812,True
109,0.675,Pass,9.116885835,mIVSCC-MET,0.77839281,True
110,0.784,Pass,5.668780429,mIVSCC-MET,0.825789397,True
111,0.747,Pass,9.855451297,mIVSCC-MET,0.81458703,True
112,0.7440000000000001,Pass,10.19228786,mIVSCC-MET,0.753892125,True
113,0.732,Pass,8.458363321,mIVSCC-MET,0.700750373,True
114,0.7070000000000001,Pass,11.14424497,mIVSCC-MET,0.822396963,True
115,0.693,Pass,13.78703219,mIVSCC-MET,0.932327248,True
116,0.659,Pass,8.807577224,mIVSCC-MET,0.964542418,True
117,0.6759999999999999,Pass,8.847956063,mIVSCC-MET,0.7634510090000001,True
118,0.45899999999999996,Pass,17.41111712,mIVSCC-MET,0.823923845,True
119,0.6809999999999999,Pass,9.190500332000001,mIVSCC-MET,0.807369901,True
120,0.6579999999999999,Pass,13.48325491,mIVSCC-MET,0.856122698,True
121,0.6990000000000001,Pass,12.78178451,mIVSCC-MET,0.8059085579999999,True
122,0.524,Pass,20.84902727,mIVSCC-MET,0.80946065,True
123,0.713,Pass,12.20832609,mIVSCC-MET,0.827192425,True
124,0.617,Pass,10.51242145,mIVSCC-MET,0.692540356,True
125,0.718,Pass,11.5686224,mIVSCC-MET,0.7762978009999999,True
126,0.599,Pass,25.81164406,mIVSCC-MET,0.783648032,True
127,0.5529999999999999,Pass,9.536030728,mIVSCC-MET,0.8607935990000001,True
128,0.535,Pass,6.987080601000001,mIVSCC-MET,0.5039055960000001,True
129,0.758,Pass,15.59375816,mIVSCC-MET,0.822561645,True
130,0.644,Pass,16.77232325,mIVSCC-MET,0.882150435,True
131,0.442,Fail,8.111177651,mIVSCC-MET,0.646747423,True
132,0.66,Pass,17.52681578,mIVSCC-MET,0.965084913,True
133,0.647,Pass,18.22974374,mIVSCC-MET,0.821419571,True
134,0.507,Pass,9.093247896,mIVSCC-MET,0.79254132,True
135,0.653,Pass,14.39712835,mIVSCC-MET,0.820493969,True
136,0.555,Pass,11.90593936,mIVSCC-MET,0.872144138,True
137,0.798540426,Pass,7.8105,T301x,0.785694566,True
138,0.768,Pass,5.575119717000001,mIVSCC-MET,0.7406008079999999,True
139,0.609,Pass,6.621808825,mIVSCC-MET,0.831005868,True
140,0.693,Pass,14.73856611,mIVSCC-MET,0.848198502,True
141,0.626,Pass,9.697881596,mIVSCC-MET,0.7469970309999999,True
142,0.69,Pass,23.13199016,mIVSCC-MET,0.7497868209999999,True
143,0.636,Pass,6.573643815,mIVSCC-MET,0.734856761,True
144,0.67,Pass,10.73989468,mIVSCC-MET,0.895256252,True
145,0.55,Pass,13.63864723,mIVSCC-MET,0.727125193,True
146,0.45899999999999996,Pass,25.31560578,mIVSCC-MET,0.764149913,True
147,0.796969697,Pass,2.97,T301x,0.768686047,True
148,0.613,Pass,3.8044245969999997,mIVSCC-MET,0.59559453,True
149,0.47193723600000004,Pass,4.971,T301x,0.725840574,True
150,0.7703180209999999,Pass,6.792000000000001,T301x,0.706429524,True
151,0.423,Pass,20.36638114,mIVSCC-MET,0.743456065,True
152,0.5489999999999999,Pass,7.197970159,mIVSCC-MET,0.840810408,True
153,0.685,Pass,20.34765655,mIVSCC-MET,0.789234542,True
154,0.686054197,Pass,4.539,T301x,0.559717751,True
155,0.667,Pass,9.615063891,mIVSCC-MET,0.693207626,True
156,0.6509999999999999,Pass,12.49653835,mIVSCC-MET,0.97312087,True
157,0.615,Pass,21.28633502,mIVSCC-MET,0.695733495,True
158,0.7780504909999999,Pass,24.015,T301x,0.8846569479999999,True
159,0.534,Pass,11.249999,mIVSCC-MET,0.8234528320000001,True
160,0.629,Pass,14.64217235,mIVSCC-MET,0.772253616,True
161,0.605,Pass,15.42920233,mIVSCC-MET,0.815326197,True
162,0.552,Fail,2.834967196,mIVSCC-MET,0.605926471,True
163,,Pass,,T301x,0.699528237,True
164,0.746949807,Pass,16.98,T301x,0.732074404,True
165,0.6659999999999999,Pass,12.90438067,mIVSCC-MET,0.6382520420000001,True
166,0.48,Pass,33.91188794,mIVSCC-MET,0.941275655,True
