,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
2578,0.5920000000000001,Fail,5.575143193,mIVSCC-MET,0.685411419,True
2590,0.625,Fail,14.69524256,mIVSCC-MET,0.874242231,True
2631,0.43700000000000006,Fail,8.655388471,mIVSCC-MET,0.557067223,True
2689,0.527,Fail,10.20532725,mIVSCC-MET,0.8071094109999999,True
2700,0.465,Fail,4.91103396,mIVSCC-MET,0.8257017459999999,True
2740,0.304,Fail,117.4785481,mIVSCC-MET,0.77071212,True
2795,0.363,Fail,21.58766101,mIVSCC-MET,0.798035528,True
2852,0.491,Fail,10.032268,mIVSCC-MET,0.921070359,True
2860,0.541,Fail,9.455745878,mIVSCC-MET,0.58902433,True
3013,0.537,Fail,2.417257871,mIVSCC-MET,0.656297464,True
3053,0.642,Fail,5.333504087,mIVSCC-MET,0.477035634,True
3100,0.401,Fail,8.386534641,mIVSCC-MET,0.552725763,True
3129,0.371,Fail,22.364366,mIVSCC-MET,0.593807503,True
3149,0.265,Fail,12.39749241,mIVSCC-MET,0.6990780190000001,True
3153,0.447,Fail,5.362234751,mIVSCC-MET,0.667453673,True
3160,0.266,Fail,12.26898142,mIVSCC-MET,0.7509109759999999,True
3174,0.33899999999999997,Fail,4.5481706719999995,mIVSCC-MET,0.43542216899999997,True
3192,0.447,Fail,9.773423651,mIVSCC-MET,0.79507739,True
3193,0.469,Fail,13.96933583,mIVSCC-MET,0.8277885490000001,True
3205,0.385,Fail,30.01432782,mIVSCC-MET,0.70067427,True
3208,0.212,Fail,23.60142417,mIVSCC-MET,0.711855419,True
3273,0.364,Fail,11.00159037,mIVSCC-MET,0.767638025,True
3385,0.391,Fail,4.336088431,mIVSCC-MET,0.481428481,True
3386,0.322,Fail,9.047130409,mIVSCC-MET,0.5661674529999999,True
3387,0.424,Fail,5.907560425,mIVSCC-MET,0.5892143120000001,True
3388,0.24100000000000002,Fail,10.51942145,mIVSCC-MET,0.705088663,True
3389,0.19899999999999998,Fail,11.70304277,mIVSCC-MET,0.7626389720000001,True
3390,0.267,Fail,8.074820521,mIVSCC-MET,0.53255705,True
3568,0.473,Fail,10.91824903,mIVSCC-MET,0.717132678,True
3635,0.406,Fail,8.608226157999999,mIVSCC-MET,0.838215743,True
3679,0.36200000000000004,Fail,17.84510697,mIVSCC-MET,1.0242166209999999,True
3728,0.493,Fail,65.26208179999999,mIVSCC-MET,0.736383977,True
3781,0.21100000000000002,Fail,50.89622432,mIVSCC-MET,0.9145392309999999,True
3987,0.255,Fail,43.00911209,mIVSCC-MET,0.584525163,True
4018,0.14400000000000002,Fail,33.50968235,mIVSCC-MET,0.842119214,True
4046,0.33299999999999996,Fail,16.17090107,mIVSCC-MET,0.597549058,True
4072,0.373,Fail,13.44834052,mIVSCC-MET,0.55898425,True
4101,0.395,Fail,14.03835681,mIVSCC-MET,0.793713894,True
4136,0.389,Fail,12.92906241,mIVSCC-MET,0.595041258,True
4162,0.217,Fail,58.58911048,mIVSCC-MET,1.053736397,True
4217,0.392,Fail,10.77128572,mIVSCC-MET,0.649637436,True
4316,0.508,Fail,7.3984758170000005,mIVSCC-MET,0.71046393,True
4363,0.27899999999999997,Fail,7.914194632999999,hIVSCC-METx,0.492488239,True
4385,0.281,Fail,6.240881057,mIVSCC-MET,0.600835972,True
4388,0.44,Fail,6.267949882999999,mIVSCC-MET,0.47757316299999997,True
4408,0.312,Fail,71.31227933,mIVSCC-MET,0.77339818,True
4409,0.244,Fail,12.457401800000001,mIVSCC-MET,0.705371975,True
4442,0.249,Fail,12.553649400000001,mIVSCC-MET,0.755945509,True
4448,0.41200000000000003,Fail,2.680632091,mIVSCC-MET,0.849541428,True
4478,0.42200000000000004,Fail,7.721171495,mIVSCC-MET,0.964413018,True
4534,0.342,Fail,20.01765908,mIVSCC-MET,0.7820823029999999,True
4538,0.441,Fail,5.6700720570000005,mIVSCC-MET,0.635378134,True
4548,0.37799999999999995,Fail,5.780146414,mIVSCC-MET,0.509678305,True
4705,0.381,Fail,6.450269185,mIVSCC-MET,0.5108140879999999,True
4709,0.33,Fail,17.0439511,mIVSCC-MET,0.68037688,True
4743,0.4,Fail,9.153670511,mIVSCC-MET,0.8852794359999999,True
4744,0.405,Fail,3.863586114,mIVSCC-MET,0.7995109770000001,True
4746,0.37200000000000005,Fail,16.82832109,mIVSCC-MET,1.0344633090000002,True
4750,0.38299999999999995,Fail,9.997022031,mIVSCC-MET,0.9548883770000001,True
4755,0.48700000000000004,Fail,4.487095475,mIVSCC-MET,0.81487521,True
4784,0.5710000000000001,Fail,2.951984951,mIVSCC-MET,0.471011609,True
4814,0.331,Fail,6.83481911,mIVSCC-MET,0.533440892,True
4815,0.35700000000000004,Fail,5.815128405,mIVSCC-MET,0.530428573,True
4845,0.516,Fail,9.117123267,mIVSCC-MET,0.794503353,True
4851,0.33899999999999997,Fail,5.835697569,mIVSCC-MET,0.694716641,True
4866,0.34600000000000003,Fail,11.95941002,mIVSCC-MET,0.66955168,True
4873,0.252,Fail,67.85772726,mIVSCC-MET,0.6891631770000001,True
4902,0.509,Fail,6.804872536,mIVSCC-METx,0.819327351,True
4909,0.413,Fail,9.534520269,mIVSCC-MET,0.756159825,True
4947,0.29600000000000004,Fail,6.481555154,mIVSCC-METx,0.719467808,True
4964,0.389,Fail,11.13320038,mIVSCC-MET,0.714574149,True
5013,0.271,Fail,6.434680727000001,mIVSCC-MET,1.033901079,True
5129,0.27699999999999997,Fail,16.45965299,mIVSCC-MET,0.6953960440000001,True
5143,0.353,Fail,10.35671867,mIVSCC-MET,0.571712624,True
5191,0.192,Fail,11.36002726,mIVSCC-MET,0.46456707,True
5210,0.43200000000000005,Fail,5.737225324,mIVSCC-MET,0.520427351,True
5214,0.511,Fail,6.414206644,mIVSCC-MET,0.603940166,True
5215,0.342,Fail,36.42560774,mIVSCC-MET,0.576509511,True
5280,0.35100000000000003,Fail,20.87490911,mIVSCC-METx,1.026916984,True
5321,0.304,Fail,10.07118294,mIVSCC-MET,0.713760113,True
5338,0.39,Fail,13.20992131,mIVSCC-MET,0.8045944559999999,True
5364,0.39799999999999996,Fail,10.84353433,mIVSCC-MET,0.616069269,True
5369,0.536,Fail,5.213532213,mIVSCC-MET,0.61165457,True
5375,0.389,Fail,5.038850448,mIVSCC-MET,0.48239728299999995,True
5382,0.276,Fail,11.83494026,mIVSCC-MET,0.490215355,True
5397,0.452,Fail,6.456722813,mIVSCC-MET,0.889034219,True
5427,0.319,Fail,4.97027807,mIVSCC-MET,0.637890116,True
5449,0.561,Fail,6.73587069,mIVSCC-MET,0.607672177,True
5450,0.586,Fail,5.539474135,mIVSCC-MET,0.585459149,True
5537,0.156,Fail,31.98506534,mIVSCC-MET,0.745811762,True
5580,0.256,Fail,10.54471061,mIVSCC-MET,0.668327157,True
5591,0.377,Fail,13.0424551,mIVSCC-MET,0.71862121,True
5702,0.401,Fail,20.4959747,mIVSCC-MET,0.857542391,True
