name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.01.02,905866838,180706,905866838,717392579,905820324,905820324,-61.05598704,167.187497,0.13780947,-77.09375,19.97653629,1.945959615,2.257091737,2.296194251,44.69791794,9.247493333,48.5625,0.503284,49.78125,0.5728,-38.80208206,9.248873333,-61.83124924,0.908468,-47.21875,0.57416,-38.66666794,9.248773333,-49.0875,0.504516,-47,0.574,-38.08333333,9.26014,,,-44.5625,0.58852,-22.125,-33.90000153,-33.09375,218.7916718,800,120,9.24702,0.502916,0.5724,,0.0724,151.38,0.200892857,,,,54:38.2,54:38.2
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-453902.03.02.01,847090988,190405,847090988,847083836,847089444,847089456,-64.95469319,282.6874852,0.164969131,-99.625,38.68960711,1.872776378,1.928566552,1.940626782,26.38749886,2.452386667,27.15625,0.50374,27.21249962,0.65078,-49.10833359,2.45382,-65.44374847,1.163,-50.5,0.65214,-49.05833054,2.453726667,-52.36874771,0.505033333,-50.45000076,0.6521,-47.58333206,2.476426667,,,,,-33.4458313,-37.79166794,-35.56874847,48.875,570,50,2.451926667,0.503326667,0.65032,0.035852079,0.04436,56.8825,0.375,,,,54:57.4,25:29.4
Gad2-IRES-Cre;Ai14-383745.05.01.03,861259283,180413,861259283,683899155,861208128,861208136,-63.11207104,337.500006,0.177231923,-102.59375,29.15514966,2.337023472,2.547464346,2.696758449,36.546875,3.10529,39.24375153,0.503436,40,0.58528,-54.640625,3.1067,-63.3,1.218576,-56.875,0.58666,-54.484375,3.10662,-58.5,0.504676,-56.8125,0.5866,-51.328125,3.12185,,,,,-37.328125,-43.03125,-42.03125,65.1875,340,40,3.10484,0.503068,0.58488,0.116454722,0.02132,78.04833333,0.3,,,,46:51.9,17:23.1
Nr5a1-Cre;Ai14-380240.03.01.01,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Th-Cre_FI172;Ai14-382502.03.02.01,861221176,180402,861221176,679300054,861165413,861165420,-54.58956655,344.8437452,0.088588461,-92.53125,14.85898683,0.749091471,1.461888603,1.212272511,-3.875,4.5101,6,0.50396,4.4375,0.5446,-42.28125,4.51186,-55.09375,1.07494,-51.375,0.5465,-42.1875,4.51176,-54.65625,0.5058,-51.21875,0.5462,,,,,,,-24.78125,-36.53125,-31.0625,100.25,200,50,4.5094,0.50348,0.54406,-0.001097371,0.00936,12.96,1.1,,,,37:47.1,18:17.9
Chrna2-Cre_OE25;Ai14-379136.03.02.01,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr5a1-Cre;Ai14-380240.03.01.02,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gad2-IRES-Cre;Ai14-419284.05.02.01,905583542,181015,905583542,763952780,905552151,905552181,-65.55771807,230.46875,0.031601712,-84.00624847,13.45746481,2.979911864,3.426391557,3.207376273,29.15416527,2.061086667,36.23749924,0.50356,31.64999962,0.62086,-48.41041565,2.074273333,-66.30312347,1.16481,-46.10625076,0.62318,-48.12291336,2.063146667,-55.27500153,0.5058,-45.96249771,0.6229,,,,,,,-36.86666489,-41.83749771,-35.96249771,39.125,290,50,2.0606,0.50318,0.62042,0.07154025,0.0273,23.64571429,0.087931034,,,,08:34.7,31:03.4
Th-P2A-FlpO;Ai65F-385998.04.02.01,,180424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr5a1-Cre;Ai14-380240.02.01.01,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-442770.04.02.01,824018111,190215,824018111,823830483,824004168,824004179,-69.9496818,116.0625443,0.005486688,-83.21250153,7.958064087,1.506973184,1.583109724,1.620729269,22.0625,11.96556,27.33250046,3.42732,22.54999924,0.59464,-47.62916565,11.96686,-54.24625397,3.45346,-48.48125076,0.59588,-47.48333359,11.96670667,-50.91624832,3.42826,-48.35625076,0.59576,,,,,,,-24.54583168,-30.56875038,-27.20624924,286.7083435,533.125,230,11.96518,3.427008,0.59426,0.014013746,0.02832,26.28344828,0.685714286,,,,17:25.1,30:13.5
Pvalb-IRES-Cre;Ai14-470303.05.02.02,905026074,190621,905026074,892547707,904987516,904987536,-68.91499606,60.53127348,0.074691132,-75.71875,5.576841171,,1.517329622,1.380861815,,,18.35624886,0.503393333,18.01249886,0.7163,,,-68.57500458,0.5647,-51.54375076,0.7171,,,-55.40416336,0.50418,-51.48749924,0.71704,,,,,,,,-42.27083206,-31.52499962,,740,360,,0.503126667,0.716,0.005114127,0.04426,37.076,0.614655172,,,,28:31.2,28:31.2
Gad2-IRES-Cre;Ai14-419291.05.02.01,905577957,181017,905577957,764879591,905548457,905548513,-66.25650188,206.1161101,0.054405581,-83.03749847,10.26450059,4.173380504,3.520064239,4.139468566,33.91250229,4.00614,33.48749924,0.5036,25.72500038,0.59644,-42.09375,4.018953333,-65.875,1.2498,-44.875,0.61014,-39.93124771,4.00914,-51.4375,0.51042,-42.17499924,0.59956,-42.09374873,4.018953333,,,-44.875,0.61014,-27.90625,-35.39999771,-31.83749962,87.66666412,350,70,4.00572,0.50326,0.59604,0.034956946,0.0159,39.2075,0.537142857,,,,07:57.0,22:05.2
Npr3-IRES2-Cre;Sst-IRES-FlpO;Ai65-379882.02.01.02,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vip-IRES-Cre;Ai14-331294.04.01.01,997368504,170706,997368504,601506507,997367282,997367312,-73.44077436,272.8400826,0.013307713,-99.6875,11.76863399,2.991986122,2.998985657,3.103344446,22.03125,1.65568,37.3203125,0.503485,22.25,0.6414,-45.75,1.67866,-74.171875,1.06339,-45,0.64432,-44.96875,1.65798,-50.25,0.505575,-44.625,0.64354,-45.75,1.67866,,,,,-32.40625,-34.75,-33.84375,29,410,30,1.65518,0.50309,0.6409,0.07349651,0.02258,15.865,0.055434783,,,,22:41.8,22:41.8
Nr5a1-Cre;Ai14-380240.02.01.02,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-440450.04.01.02,818822403,190205,818822403,818792182,818810841,818810847,-69.85852189,99.12498295,0.106724724,-80.53749847,7.823355122,1.181469155,1.226111529,1.131837714,23.83125114,13.34661333,26.6012516,2.665244,21.48124886,0.54804,-58.62916565,13.34728667,-64.38375092,2.708624,-58.75624847,0.54868,-58.55624771,13.34724667,-61.41624832,2.665816,-58.65625,0.54864,,,,,,,-33.65624619,-39.72124863,-33.05624771,321.2083435,579.5,290,13.3463,2.664984,0.54774,0.095521345,0.01406,23.255,0.446551724,,,,26:20.5,31:24.7
Nr5a1-Cre;Ai14-380238.02.01.01,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr5a1-Cre;Ai14-380238.03.01.01,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rbp4-Cre_KL100;Ai14-388821.04.01.02,,180507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slc32a1-IRES-Cre;Ai14-348997.04.02.02,997408942,170928,997408942,639216491,997383314,997383367,-66.02283532,272.2656131,0.03705281,-97.28125,6.977211546,3.257534079,2.821126702,3.137076419,34.875,2.3235,29.7890625,0.50337,33.28125,0.54916,-46.4375,2.33652,-66.796875,1.3197,-45.0625,0.55892,-44.28125,2.3257,-45.75,0.505635,-43.6875,0.55126,-46.4375,2.33652,,,,,-37.96875,-42.46875,-37,45.625,210,50,2.32304,0.50298,0.54874,0.121936824,0.00958,31.3475,0.168965517,,,,41:04.7,41:04.7
Pvalb-IRES-Cre;Ai14-349028.04.02.03,997409223,170925,997409223,638356222,997383922,997383751,-71.4223959,109.7656265,0.041116122,-84.0625,6.272034458,0.970164744,1.344408421,1.34017024,7.734375,16.15145,22.3214283,0.50336,19.375,0.50668,-53.90625,16.15245,-71.1607132,1.23516,-62.8125,0.5074,-53.828125,16.15241,-64.3482132,0.504137143,-62.75,0.50738,,,,,,,-28.125,-44.31696429,-40.875,391.3125,440,310,16.15103,0.503077143,0.50638,,0.00518,,2.034090909,,,,41:40.2,41:40.2
Htr3a-Cre_NO152;Ai14-368658.05.02.01,997408932,180115,997408932,657346185,997385823,997385824,-71.24709447,231.250003,0.040134776,-84.15625,36.40914071,0.896315137,1.905775826,1.826124978,-5.5,10.73048,21.515625,0.50352,21.15625,0.51108,-47.78125,10.73282,-72.59375,0.85822,-59.875,0.51256,-47.6875,10.7327,-62.4375,0.50507,-59.78125,0.51244,,,,,,,-31,-47.109375,-43.1875,255.75,330,150,10.72952,0.50307,0.51062,-0.319117647,0.00722,13.6,0.803846154,,,,41:04.0,41:04.0
Chrna2-Cre_OE25;Ai14-362810.05.02.01,997408735,171207,997408735,652516963,997382324,997382334,-69.99152679,435.937494,0.127489924,-112.875,23.23455185,2.573296312,2.44455408,2.529851451,11.875,1.68642,10.0625,0.515986667,19,0.61778,-52.46875,1.68834,-51.89583206,0.517426667,-52.03125,0.61914,-52.3125,1.68816,-51.84375,0.517413333,-51.9375,0.61912,,,,,,,-45.65625,-45.17708206,-44.09375,29.75,260,20,1.68596,0.515586667,0.61736,0.088233852,0.0178,68.05846154,0.2875,,,,40:31.6,40:31.6
Pvalb-IRES-Cre;Ai14-357944.03.01.02,997408810,171106,997408810,646570718,997382699,997382705,-65.77777863,48.43749851,0.011553494,-78.0625,8.718956199,1.210405771,1.529085962,1.245720809,-1.78125,8.53518,0.28125,0.50324,-2.34375,1.47658,-59.5,8.53622,-65.59375,0.504433333,-61.6875,1.47768,-59.5,8.53622,-65.32291412,0.50416,-61.65625,1.47764,,,,,,,-35.875,-46.375,-37.65625,200.875,270,190,8.53472,0.50298,1.47616,0.004472733,0.02426,15.88196721,1.4875,,,,40:46.9,40:46.9
Sst-IRES-Cre;Ai14-346783.05.02.02,997408781,170914,997408781,626082009,997378342,997378420,-64.39506947,318.749994,0.049650878,-99.46875,22.42208842,1.006328838,1.800756717,1.731134239,15.6875,6.07207,25.09821429,0.503394286,28.25,0.58376,-53.359375,6.07433,-64.69642639,1.037231429,-58.8125,0.58542,-53.296875,6.07414,-59.03125,0.50504,-58.8125,0.58542,,,,,,,-30.609375,-45.7633934,-41.78125,139.3125,240,30,6.07113,0.502862857,0.58318,,0.01818,22.98,0.03928047,,,,40:42.8,40:42.8
Sst-IRES-Cre;Ai14-346783.05.02.03,997408773,170914,997408773,626103966,997378419,997378518,-68.2876101,325.4206777,0.193866819,-98.71875,38.44094161,2.213967622,2.050229853,2.235548918,29.859375,1.91152,24.11328125,0.5035675,26.5625,0.66836,-55.5625,1.91307,-69.203125,1.1286875,-54.8125,0.67002,-55.484375,1.91299,-56.93359375,0.5049775,-54.65625,0.6699,,,,,,,-43.21875,-41.82421875,-43.28125,35.3125,490,40,1.91101,0.503125,0.66782,0.033090268,0.0308,39.62434783,0.358832449,,,,40:41.5,40:41.5
Chat-IRES-Cre-neo;Ai14-374836.04.02.01,997409008,180206,997409008,661411305,997386755,997386758,-70.35637834,223.7499952,0.075886168,-96.96875,8.640429782,3.713152335,3.715927087,3.741323491,33.3125,3.46726,32.6796875,0.503375,32.34375,0.52236,-52.09375,3.48386,-71.0078125,0.89499,-52.96875,0.53638,-49.78125,3.46906,-52.65625,0.50538,-48.8125,0.52412,-52.09375,3.48386,,,-52.96875,0.53638,-41.0625,-48.3203125,-43.8125,74.25,220,70,3.46686,0.503035,0.52198,0.03914996,0.00778,73.09272727,0.188571429,,,,41:16.1,41:16.1
Pdyn-T2A-CreERT2;Ai14-353427.05.02.02,997408751,171016,997408751,643479119,997382548,997382551,-49.63985367,239.062503,0.037803363,-66.59375,11.34661256,2.038948459,2.139475304,2.200483243,40.4375,2.90143,30.10000038,0.503172,26.9375,0.50952,-42.5,2.90308,-49.84999847,1.096356,-45.75,0.51136,-42.234375,2.90273,-45.83750153,0.504624,-45.4375,0.51094,,,,,,,-30.6875,-36.00624847,-37.71875,60.0625,170,70,2.90105,0.502812,0.50912,0.097490395,0.00582,89.46727273,0.175,,,,40:35.4,40:35.4
Vip-IRES-Cre;Ai14-366688.04.02.02,997409096,180109,997409096,656860694,997385838,997385840,-55.32399813,121.2500036,0.049086887,-70.15625,9.467209175,1.85980697,2.584673373,2.495979316,28.984375,10.93979,31.39583397,0.503406667,31.25,0.54596,-35.96875,10.94232,-57.27083333,0.976113333,-42.09375,0.54752,-35.59375,10.94141,-45.52083206,0.505246667,-41.875,0.54722,,,,,,,-19.90625,-35.5,-31.1875,261,390,130,10.93927,0.503086667,0.5456,,0.0172,20.86,0.052368421,,,,41:25.4,41:25.4
Htr3a-Cre_NO152;Ai14-368863.05.02.02,997409073,180124,997409073,658448683,997385949,997385952,-61.61374251,137.3437494,0.069587216,-78.40625,10.26212952,2.974102563,2.844416228,2.806608495,48.65625,9.8398,38.83124924,0.50366,37.125,0.5207,-29.96875,9.85052,-61.66249847,0.824196,-35.5625,0.52328,-27.375,9.84172,-35.5625,0.50572,-35.28125,0.5223,-29.96875,9.85052,,,,,-19.46875,-33.50624847,-29.34375,233.5,490,150,9.83932,0.503252,0.5203,,0.01078,34.9,0.039224138,,,,41:22.8,41:22.8
Ndnf-IRES2-dgCre;Ai14-355228.05.02.01,997408767,171027,997408767,645162257,997382628,997382630,-73.64345296,265.625,0.030446289,-94.09375,11.19217618,3.120118903,2.163797586,3.326216078,39.21875,9.49898,-9.2890625,0.50328,1.90625,1.27134,-22.15625,9.50882,-71.078125,0.685035,-51.03125,1.29006,-19,9.50264,-58.7421875,0.512225,-46.5,1.2768,-22.15625,9.50882,,,-51.03125,1.29006,-5.84375,-50.9921875,-33.40625,225,450,70,9.49818,0.50151,1.27052,0.006408809,0.0382,48.87473684,0.35,,,,40:40.3,40:40.3
Vip-IRES-Cre;Ai14-388042.03.01.04,,180507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-382512.03.02.04,997409414,180403,997409414,679532137,997390366,997390367,-76.35152308,67.81250238,0.004686255,-83.875,11.77093967,3.73887464,4.327710483,4.560110823,51.34375,20.57028,54.86875153,0.503448,52,0.59256,-41.59375,20.58878,-76.50624847,1.11212,-46.0625,0.61874,-35.15625,20.57494,-40.95000076,0.505504,-37.53125,0.59546,-41.59375,20.58878,,,,,-23.53125,-39.68125153,-28.4375,501.75,1970,340,20.56982,0.503064,0.59216,,0.05072,,0.051445515,,,,42:22.7,42:22.7
Chat-IRES-Cre-neo;Ai14-341891.04.02.01,997409217,170825,997409217,613432876,997381198,997381046,-67.91834028,213.1510377,0.058150444,-92.15625,12.5443058,2.735172425,3.308727185,3.106313569,29.53125,5.01512,30.68229167,0.503336667,31.53125,0.5841,-41.71875,5.01698,-67.69791412,0.87302,-44.5625,0.6213,-41.59375,5.01674,-45.91666794,0.50492,-43.75,0.5856,-41.1875,5.1195,,,,,-28.9375,-39.41666667,-31.4375,112.9375,340,90,5.01468,0.503,0.5837,,0.01666,53.6,0.098843323,,,,41:39.8,41:39.8
