date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171003,P2S4_171003_051_A01,Production,nucleus_present,0.5329999999999999,6.248476892999999,4319,Core,0.737654984202274,460.0,7.666666666666667,5-10
171003,P2S4_171003_057_A01,Production,nucleus_present,0.618,12.99736749,5841,Core,0.884990511817182,469.0,7.816666666666666,5-10
171003,P9S4_171003_410_A01,Production,nucleus_absent,0.134,27.91702904,3151,PoorQ,0.22683614170871,393.0,6.55,5-10
171003,P9S4_171003_408_A01,Production,nucleus_absent,0.424,7.401630657,3969,I2,0.5917368919045389,392.0,6.533333333333333,5-10
171003,P2S4_171003_056_A01,Production,nucleus_absent,0.369,4.659097657,2182,PoorQ,0.38755302705279,479.0,7.983333333333333,5-10
171003,P9S4_171003_403_A01,Production,nucleus_present,0.501,8.692346878,3885,Core,0.42429727001139095,492.0,8.2,5-10
171003,P2S4_171003_053_A01,Production,nucleus_present,0.604,9.704651125,5547,Core,0.607345706247427,472.0,7.866666666666666,5-10
171003,P9S4_171003_409_A01,Production,nucleus_absent,0.385,12.12526536,4159,PoorQ,0.0973017099993169,421.0,7.016666666666667,5-10
171003,P9S4_171003_404_A01,Production,nucleus_present,0.488,19.22148707,6843,I3,0.8925967807049741,474.0,7.9,5-10
171003,P2S4_171003_054_A01,Production,nucleus_absent,0.691,9.71313701,5018,I1,0.672135809511487,733.0,12.216666666666667,10-15
171003,P2S4_171003_055_A01,Production,nucleus_present,0.662,13.83254469,6527,Core,0.8485533768345709,528.0,8.8,5-10
171003,PBS4_171003_501_A01,Production,nucleus_absent,0.355,5.902954125,4377,PoorQ,0.33332736760187603,771.0,12.85,10-15
171003,PBS4_171003_502_A01,Production,nucleus_present,0.665,10.41368047,6382,PoorQ,0.727140417993813,711.0,11.85,10-15
