,name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
0,H18.03.317.14.05.02,,181005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H19.06.352.99.01.05.01.10,847988176.0,190408,847988176.0,847946572.0,847975573.0,847975597.0,-60.133216094970706,127.6562511920929,0.15767626464366913,-77.26249694824219,9.402116079092105,1.6416265596949022,1.7239550087915962,1.6079993724030124,32.62916564941406,6.0583,33.139583587646484,0.5036133333333334,33.599998474121094,1.01668,-55.78541564941406,6.06024,-60.352081298828125,0.5635133333333334,-56.49374771118164,1.01848,-55.13124465942383,6.05958,-56.470829010009766,0.5047666666666668,-55.98125076293945,1.01782,-55.785414377848305,6.06024,,,-56.49374771118164,1.01848,-24.306249618530273,-25.83333396911621,-24.96875,139.0,610.0,140.0,6.0579,0.5033133333333334,1.01626,-0.001221350141403914,0.07816000000000001,32.784285714285716,0.5349999999999999,,,,2019-04-09 01:15:12.203778,2019-04-09 01:15:12.203778
2,H19.03.308.99.02.06.01.03,905044668.0,190422,905044668.0,855354446.0,905013731.0,905013756.0,-52.56692934036255,342.0310914516449,0.2242220789194107,-98.6812515258789,24.915404972357003,1.5761414085661116,1.8498242561620462,1.7298678969470165,27.15833282470703,0.8748266666666668,31.106250762939453,0.5042300000000001,31.162500381469727,0.5825600000000001,-60.8729133605957,0.87766,-62.01874923706055,0.5074200000000001,-60.43124771118164,0.5855400000000001,-60.570831298828125,0.8771266666666667,-61.521873474121094,0.5065500000000001,-60.04999923706055,0.5849400000000001,,,,,,,-39.09375,-42.91874694824219,-39.64999771118164,9.416666984558105,100.0,10.0,0.8739666666666667,0.5034200000000001,0.5817200000000001,0.007581475387283351,0.006639999999999979,25.278461538461535,0.6216867469879521,,,,2019-07-13 00:39:19.478202,2019-07-13 00:39:19.478202
3,H19.03.318.1A.06.01,932272685.0,190826,932272685.0,931984814.0,932254047.0,932254051.0,-59.98032601674398,289.87500071525574,0.4048251211643219,-92.375,13.39632674362792,0.9377574467009873,2.1424171757334434,1.800152555820118,10.56874942779541,4.451573333333334,31.399999618530273,0.5047,26.850000381469727,0.5271000000000001,-61.6541633605957,4.45418,-67.59375,0.5076600000000001,-66.0562515258789,0.5293000000000001,-61.53125,4.453833333333335,-66.9937515258789,0.5065600000000001,-65.83124542236328,0.5289600000000001,,,,,,,-24.5625,-33.85625076293945,-32.224998474121094,98.79166412353516,190.0,46.0,4.45082,0.5043000000000001,0.5265200000000001,0.007345364774131208,0.007879999999999998,28.1,0.6665733482642778,,,,2019-08-27 00:26:23.419067,2019-08-27 00:26:23.419067
4,H19.03.318.1A.06.02,932273397.0,190826,932273397.0,932027719.0,932253042.0,932253051.0,-60.3910402570452,288.20663690567017,0.17132402956485748,-96.5,26.91657843924043,1.995262774149278,2.0588876213479796,2.077076068072106,37.460418701171875,1.1992133333333335,37.6508903503418,0.5312314285714287,40.20000076293945,0.6488400000000001,-55.25,1.2008266666666667,-57.66518020629883,0.679997142857143,-55.71875,0.65034,-55.008331298828125,1.2005266666666667,-54.66696548461914,0.5325028571428572,-55.36874771118164,0.6500600000000001,,,,,,,-32.80208206176758,-33.46696090698242,-34.037498474121094,17.54166603088379,290.0,14.0,1.1987866666666667,0.5308428571428573,0.6484200000000001,0.14851138236870548,0.020079999999999987,27.346666666666668,0.10793357933579341,,,,2019-08-27 00:27:03.304606,2019-08-27 00:27:03.304606
5,H19.03.308.99.02.06.01.11,855930261.0,190422,855930261.0,855827363.0,855906593.0,855906607.0,-60.10204010009765,328.4926116466522,0.3894285261631012,-98.98749542236328,22.67953973018705,1.7346260569223293,1.8970629316090137,1.8244737321096325,32.64583206176758,1.2537533333333335,36.11874771118164,0.5036200000000001,34.787498474121094,0.5996800000000001,-62.0625,1.2576000000000003,-64.3062515258789,0.50858,-61.18124771118164,0.60296,-61.34999465942383,1.25596,-63.256248474121094,0.5055400000000001,-60.4375,0.60172,-62.0625,1.2576000000000003,,,-61.18124771118164,0.60296,-34.96875,-39.48749923706055,-33.599998474121094,18.91666603088379,230.0,20.0,1.2531800000000002,0.5031200000000001,0.5991200000000001,0.005593279100072937,0.01735999999999993,33.106896551724134,0.6249999999999997,,,,2019-04-23 19:32:27.020240,2019-04-23 19:32:27.020240
6,H19.03.318.1A.06.06,932272782.0,190826,932272782.0,932211728.0,932252555.0,932252563.0,-64.69269289289203,141.56241714954376,0.41649338603019714,-80.8062515258789,25.4341702913157,2.5874763042374602,2.2918815480835,2.656592180516059,37.66249465942383,5.490306666666666,37.51250076293945,0.5038800000000001,37.51250076293945,0.59284,-53.24374771118164,5.513566666666667,-66.64374542236328,0.61694,-53.21875,0.6572200000000001,-51.23749923706055,5.4942400000000005,-50.58749771118164,0.5058400000000001,-50.599998474121094,0.5958000000000001,-53.2437489827474,5.513566666666667,,,,,-33.86458206176758,-42.42499923706055,-36.04375076293945,124.83333587646484,1020.0,90.0,5.48948,0.5031200000000001,0.59208,,0.04049999999999998,93.92,0.07792553191489363,,,,2019-08-27 00:26:26.683509,2019-08-27 00:26:26.683509
7,H19.03.318.1A.06.04,932273553.0,190826,932273553.0,932122063.0,932253637.0,932253668.0,-60.42574855259487,480.7811677455902,0.14615803956985474,-108.19999694824219,32.86419052977479,3.0183395139290896,2.9788097948884484,3.044431461289635,30.797500610351562,0.84738,29.753124237060547,0.5071300000000001,33.66875076293945,0.8370600000000001,-53.407501220703125,0.852276,-60.50937271118164,1.02963,-53.58749771118164,0.8420600000000001,-52.845001220703125,0.8508040000000001,-52.81562423706055,0.5107400000000001,-53.11874771118164,0.8404800000000001,-53.28333282470703,0.8626266666666668,,,,,-30.063751220703125,-28.09062385559082,-28.899999618530273,8.725000381469727,190.0,6.0,0.8465360000000001,0.5064700000000001,0.8362400000000001,0.02094276393201934,0.015479999999999938,34.09428571428572,0.5037671232876713,,,,2019-08-27 00:27:10.293577,2019-08-27 00:27:10.293577
8,H19.03.006.99.01.04.01.01,837632304.0,190315,837632304.0,837579858.0,837626724.0,837626736.0,-67.6715725490025,160.06240248680115,0.3423868417739868,-86.51249694824219,11.754633477313838,,1.7181378880627034,1.3007299703574704,,,30.009374618530273,0.5037100000000001,18.799999237060547,0.5248600000000001,,,-68.9124984741211,0.5258200000000001,-66.25,0.52734,,,-66.37187194824219,0.5055100000000001,-65.875,0.5267600000000001,,,,,,,,-39.65625,-30.931249618530273,,480.0,140.0,,0.5032800000000001,0.5241800000000001,0.004334195754436128,0.01305999999999996,28.4035294117647,0.7666666666666675,,,,2019-03-15 21:15:09.991590,2019-03-15 21:15:09.991590
9,H19.03.308.99.02.06.01.12,905044609.0,190422,905044609.0,855884510.0,905014130.0,905014144.0,-63.78745994567871,398.7187147140503,0.4097870886325836,-101.9937515258789,24.0308735034497,1.9846127080459155,2.1527662871863202,2.0930196503445617,30.23541831970215,0.9785133333333333,31.0,0.5108,31.581249237060547,0.6971400000000001,-64.64583587646484,0.98372,-65.9437484741211,0.5223200000000001,-64.0687484741211,0.7028200000000001,-63.970829010009766,0.9818600000000002,-64.5687484741211,0.5142000000000001,-63.26874923706055,0.7004600000000001,-64.64583079020183,0.98372,,,-64.0687484741211,0.7028200000000001,-29.64583396911621,-29.787500381469727,-31.51249885559082,12.041666984558105,290.0,10.0,0.97782,0.5102000000000001,0.6963600000000001,0.0040385030477390815,0.02281999999999995,37.10538461538461,0.5892857142857145,,,,2019-07-13 00:39:18.148341,2019-07-13 00:39:18.148341
