,name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
0,H19.03.306.11.15.02.06,835875430.0,190311,835875430.0,835864073.0,835869850.0,835869861.0,-65.12292938232422,185.1249635219574,0.10299038141965866,-86.1875,24.41316762165516,4.015217319480013,3.8583505880755427,3.7862944422113096,53.11249923706055,2.4726933333333334,52.880470275878906,3.3058125000000005,51.974998474121094,0.6456600000000001,-56.01249694824219,2.5282400000000003,-63.33515167236328,4.581130000000001,-55.037498474121094,0.6999600000000001,-50.52291488647461,2.476906666666667,-50.58906173706055,3.3099950000000007,-50.99374771118164,0.6498200000000001,-56.012498219807945,2.5282400000000003,,,-55.037498474121094,0.6999600000000001,-35.23958206176758,-36.32187461853027,-36.15625,49.375,162.25,60.0,2.472073333333334,3.3052325000000007,0.6450400000000001,0.02609587766911064,0.0514,108.185,0.16500000000000012,,,,2019-03-12 18:16:46.765558,2019-03-12 18:16:46.765558
1,H18.06.004.11.02.01,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H18.06.004.11.02.03,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,H18.06.004.11.03.02,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H19.06.351.11.15.02.01,840477966.0,190322,840477966.0,840215504.0,840457713.0,840457739.0,-60.2518949508667,561.418354511261,0.015036342665553093,-94.54999542236328,37.96956247976145,2.697907817785731,2.5717424517683627,3.603331350745783,29.76041603088379,2.33202,26.662500381469727,0.50416,12.356249809265137,0.6187800000000001,-31.54791831970215,2.378986666666667,-61.75,0.8975000000000001,-34.96875,0.6305600000000001,-27.375,2.3353733333333335,-27.65625,0.50746,-33.9375,0.6226400000000001,-31.547916412353516,2.378986666666667,,,-34.96875,0.6305600000000001,-16.972917556762695,-13.431249618530273,-26.306249618530273,45.83333206176758,580.0,30.0,2.3313466666666667,0.5036,0.6181400000000001,0.025538037039560337,0.036579999999999946,37.2848,0.35296610169491544,,,,2019-03-22 19:03:51.910855,2019-03-22 19:03:51.910855
5,H19.03.305.11.08.01.06,832794867.0,190305,832794867.0,832596739.0,832790838.0,832790844.0,-71.94321759541829,206.68746531009674,0.03184716776013374,-95.9000015258789,20.440704120705888,3.2140752944969186,3.117898762815493,3.2558742733276884,45.233333587646484,2.3873333333333333,44.277496337890625,2.723244,48.787498474121094,0.6921,-54.33124923706055,2.428506666666667,-63.412498474121094,3.054596000000001,-57.0625,0.8228600000000001,-53.327083587646484,2.3893,-52.03624725341797,2.7249880000000006,-48.9375,0.6940800000000001,-54.33124796549479,2.428506666666667,,,,,-44.15625,-43.834999084472656,-39.943748474121094,47.25,92.75,50.0,2.38682,2.7227840000000003,0.6916000000000001,0.08505264702828003,0.04179999999999995,70.1323076923077,0.35172413793103446,,,,2019-03-06 06:39:16.903103,2019-03-06 06:39:16.903103
6,H19.03.305.11.05.01.02,833800109.0,190305,833800109.0,832554393.0,833794123.0,833794136.0,-68.07619198885831,209.93748307228088,0.059389714151620865,-94.5374984741211,19.94475512859588,2.9673491126722045,2.695402611654247,2.8582726314502285,38.57291793823242,2.097846666666667,33.27499771118164,0.5036466666666668,36.11874771118164,0.6480600000000001,-49.295833587646484,2.1418666666666666,-47.085418701171875,0.5049733333333334,-55.29999923706055,0.8452000000000001,-48.639583587646484,2.099486666666667,-47.04374694824219,0.5049066666666667,-48.4375,0.6495200000000001,-49.295833587646484,2.1418666666666666,,,,,-37.08749771118164,-40.85000228881836,-38.11249923706055,40.04166793823242,420.0,30.0,2.09738,0.50324,0.6476000000000001,0.07735018891808838,0.033399999999999985,61.27466666666666,0.36500000000000016,,,,2019-03-07 18:15:20.213068,2019-03-07 18:15:20.213068
7,H19.03.305.11.05.01.01,833800154.0,190305,833800154.0,832529199.0,833794065.0,833794097.0,-66.29115295410156,233.53122174739838,0.11249500513076782,-94.94999694824219,15.390248987311564,3.0817351258076626,2.385016673518683,3.1152428790948323,36.922916412353516,2.5175133333333335,33.0,0.5037,35.21875,0.59784,-51.53541564941406,2.538866666666667,-65.625,1.35584,-56.32500076293945,0.6135,-46.01041793823242,2.52,-48.60625076293945,0.5058,-52.068748474121094,0.6000800000000001,-51.53541564941406,2.538866666666667,,,-56.32500076293945,0.6135,-33.4666633605957,-37.099998474121094,-39.287498474121094,50.5,400.0,40.0,2.5169533333333334,0.5032200000000001,0.5973400000000001,0.023656331771025968,0.02861999999999998,74.27692307692307,0.25500000000000006,,,,2019-03-07 18:15:29.284496,2019-03-07 18:15:29.284496
8,H19.03.305.11.05.01.03,833799997.0,190305,833799997.0,832590251.0,833793370.0,833793376.0,-65.28780364990234,199.55793023109436,0.12118232250213623,-94.54999542236328,30.915897338478963,2.3357403984415215,2.326965321723065,2.377772416403322,28.44791603088379,1.7008400000000001,25.524999618530273,0.5038600000000001,28.899999618530273,0.7307600000000001,-52.96875,1.7426466666666667,-65.9375,0.93264,-55.375,1.4964,-52.28749465942383,1.7027200000000002,-52.40625,0.50558,-53.41875076293945,0.7324400000000001,,,,,,,-39.31458282470703,-43.5,-41.28125,30.08333396911621,380.0,20.0,1.7002800000000002,0.5033200000000001,0.7302000000000001,0.1295722909151718,0.03409999999999991,79.00727272727273,0.24500000000000002,,,,2019-03-07 18:14:57.193742,2019-03-07 18:14:57.193742
9,H18.03.004.11.11.02,997409283.0,180313,997409283.0,672650722.0,997388755.0,997388759.0,-80.88601303100586,64.84375149011612,0.04436882212758064,-88.96875,16.677869137948164,2.6778333630013207,2.569440747862177,2.7255150830877137,44.3125,8.32216,44.875,0.50319,46.53125,0.6714200000000001,-52.375,8.37012,-81.1875,0.8399300000000002,-51.21875,0.7190400000000001,-45.84375,8.3249,-50.515625,0.5050500000000001,-47.0625,0.67384,-52.375,8.37012,,,-51.21875,0.7190400000000001,-33.625,-49.375,-35.875,195.625,2000.0,200.0,8.321439999999999,0.5026700000000001,0.67082,0.06275038292544183,0.07733999999999996,121.4114285714286,0.07780172413793099,,,,2020-01-02 21:41:50.015949,2020-01-02 21:41:50.015949
