b'patched_cell_container',b'name',b'id',b'container_date',b'specimen_id',b'rheobase_sweep_id',b'thumbnail_sweep_id',b'vrest',b'ri',b'sag',b'vm_for_sag',b'tau',b'upstroke_downstroke_ratio_ramp',b'upstroke_downstroke_ratio_short_square',b'upstroke_downstroke_ratio_long_square',b'peak_v_ramp',b'peak_t_ramp',b'peak_v_short_square',b'peak_t_short_square',b'peak_v_long_square',b'peak_t_long_square',b'trough_v_ramp',b'trough_t_ramp',b'trough_v_short_square',b'trough_t_short_square',b'trough_v_long_square',b'trough_t_long_square',b'fast_trough_v_ramp',b'fast_trough_t_ramp',b'fast_trough_v_short_square',b'fast_trough_t_short_square',b'fast_trough_v_long_square',b'fast_trough_t_long_square',b'slow_trough_v_ramp',b'slow_trough_t_ramp',b'slow_trough_v_short_square',b'slow_trough_t_short_square',b'slow_trough_v_long_square',b'slow_trough_t_long_square',b'threshold_v_ramp',b'threshold_v_short_square',b'threshold_v_long_square',b'threshold_i_ramp',b'threshold_i_short_square',b'threshold_i_long_square',b'threshold_t_ramp',b'threshold_t_short_square',b'threshold_t_long_square',b'adaptation',b'latency',b'avg_isi',b'f_i_curve_slope',b'has_burst',b'has_pause',b'has_delay',b'created_at',b'updated_at'
PFS4_200103_701_A01,Gad2-IRES-Cre;Ai14-504539.10.01.01,997542689.0,200103,997541435.0,997542112.0,997542117.0,-65.28212044455789,59.7500242292881,0.14834676682949066,-72.65625,13.020940772612288,3.5748709491200974,3.7627826391279884,3.711102608053031,38.51250076293945,8.219806666666669,36.26250076293945,0.5035600000000001,38.23749923706055,0.61894,-51.85624694824219,8.253253333333335,-66.0,0.8235000000000001,-51.71875,0.6541000000000001,-47.36249923706055,8.222220000000002,-50.59375,0.50568,-47.29375076293945,0.6212000000000001,-51.856248219807945,8.253253333333335,,,-51.71875,0.6541000000000001,-40.10208511352539,-46.474998474121094,-41.287498474121094,193.0,880.0,200.0,8.219280000000001,0.5030800000000001,0.6184000000000001,0.05471685844204462,0.03164,96.27199999999999,0.1495327102803737,,,,2020-01-03 19:32:47.705157,2020-01-03 19:32:47.705157
PFS4_200103_702_A01,Pvalb-IRES-Cre;Ai14-504851.11.01.01,997559140.0,200103,997555358.0,997558513.0,997558509.0,-88.12667846679688,36.55040264129639,0.15987816452980042,-93.83124542236328,9.964490562138279,2.7982137722286278,2.975658419946987,2.9519987210247085,16.51249885559082,15.367920000000002,11.78749942779541,0.5036200000000001,15.06874942779541,0.6042600000000001,-68.1187515258789,15.391880000000002,-87.5374984741211,0.55476,-72.375,0.6548400000000001,-60.38750076293945,15.370000000000003,-66.71875,0.50524,-61.79999923706055,0.60606,-68.1187515258789,15.391880000000002,,,,,-56.662498474121094,-65.6937484741211,-59.35625076293945,371.75,1350.0,300.0,15.367400000000002,0.5031800000000001,0.6037600000000001,,0.04613999999999996,,0.024934383202099925,,,,2020-01-03 22:13:16.346471,2020-01-03 22:13:16.346471
PFS4_200103_703_A01,Pvalb-IRES-Cre;Ai14-504851.11.01.02,997559100.0,200103,997557396.0,997558474.0,997558477.0,-66.31339645385742,67.37503409385681,0.2698889672756195,-73.63749694824219,10.218081498096721,2.6363310597145344,2.86248936853797,2.976384978588492,35.9375,16.141700000000004,35.974998474121094,0.50332,42.61249923706055,0.6034800000000001,-48.099998474121094,16.16072,-67.69062805175781,0.5518700000000001,-49.01874923706055,0.6497600000000001,-47.01250076293945,16.14328,-52.756248474121094,0.5049300000000001,-46.125,0.60496,-48.099998474121094,16.16072,,,,,-35.04999923706055,-42.615623474121094,-35.1875,391.125,1050.0,290.0,16.14122,0.5029400000000002,0.60306,0.47863838663146474,0.045379999999999976,292.7066666666666,0.059999999999999866,,,,2020-01-03 22:12:52.817847,2020-01-03 22:12:52.817847
PFS4_200106_701_A01,Vip-IRES-Cre;Ai14-504179.11.01.01,998043282.0,200106,998032803.0,998041095.0,998041098.0,-70.99794158935546,61.37504428625107,0.05306561663746834,-77.79374694824219,5.1039905708168165,1.4075026330065885,1.4120868815837717,1.3188725004739426,25.537500381469727,14.109500000000002,23.9375,0.5034200000000001,19.90625,0.6106,-72.17499542236328,16.590940000000003,-71.7249984741211,0.8079800000000001,-53.68124771118164,0.6114,-56.0625,14.110160000000002,-57.15625,0.50416,-53.599998474121094,0.6113400000000001,,,,,,,-47.51874923706055,-46.52499771118164,-34.256248474121094,340.25,780.0,330.0,14.109180000000002,0.5031200000000001,0.6102600000000001,,0.06372,48.879999999999924,0.060714285714285623,,,,2020-01-06 22:50:33.070120,2020-01-06 22:50:33.070120
PES4_200106_651_A01,Vip-IRES-Cre;Ai14-504179.09.02.01,998043307.0,200106,998038431.0,998041149.0,998041152.0,-74.17137423428622,164.78127241134644,0.14356185495853424,-94.10624694824219,20.345574289416522,2.9637245276209896,2.773965390381726,2.992074267941193,41.860416412353516,3.5525066666666674,38.599998474121094,0.50358,43.14999771118164,0.6604400000000001,-51.9375,3.615713333333334,-75.1812515258789,0.74106,-51.568748474121094,0.7406,-40.1854133605957,3.5545866666666672,-44.474998474121094,0.50538,-40.98749923706055,0.6624400000000001,-51.93749872843424,3.615713333333334,,,,,-35.34791564941406,-37.29999923706055,-36.77499771118164,76.375,910.0,80.0,3.5519800000000004,0.5031000000000001,0.6599200000000001,0.11014908770820843,0.052159999999999984,97.72444444444444,0.19500000000000017,,,,2020-01-06 22:50:47.930753,2020-01-06 22:50:47.930753
PFS4_200106_702_A01,Vip-IRES-Cre;Ai14-504179.11.01.02,998043306.0,200106,998038485.0,998041116.0,998041120.0,-68.60382715861003,86.68750524520874,0.15945672988891602,-78.11249542236328,15.867854272266134,2.676571528501547,2.623079794574913,2.7602086995692803,30.90833282470703,3.6116533333333334,29.243749618530273,0.5035600000000001,32.17499923706055,0.93328,-51.679168701171875,3.6133933333333332,-70.1781234741211,0.597,-50.16875076293945,0.9350000000000002,-51.61458206176758,3.6132600000000004,-53.3125,0.5052300000000001,-50.10625076293945,0.9348200000000001,,,,,,,-46.2791633605957,-46.19999694824219,-45.51250076293945,77.83333587646484,810.0,80.0,3.6111800000000005,0.5031300000000001,0.93278,0.008495699393912358,0.0524,74.02833333333334,0.08936170212765954,,,,2020-01-06 22:50:47.689886,2020-01-06 22:50:47.689886
P8S4_200106_351_A01,Vip-IRES-Cre;Ai14-504181.11.02.01,998066768.0,200106,998047571.0,998062459.0,998062492.0,-68.20248471773587,206.96879923343658,0.1321328729391098,-93.0562515258789,43.61351786945529,5.1177727389200935,5.172074392647258,5.76224947728826,46.76041793823242,2.44244,49.34999465942383,0.5040866666666667,46.92499923706055,0.8350600000000001,-52.977081298828125,2.5602200000000006,-68.99374389648438,0.9223066666666666,-45.48749923706055,0.8914200000000001,-43.03125,2.4513,-45.63125228881836,0.5095333333333335,-43.36249923706055,0.8442600000000001,-52.977081298828125,2.5602200000000006,,,-45.48749923706055,0.8914200000000001,-36.70624923706055,-41.81666564941406,-39.35625076293945,48.58333206176758,900.0,30.0,2.4414800000000003,0.5032733333333334,0.83408,0.185020329964385,0.07253999999999994,169.95200000000003,0.08060154343381049,,,,2020-01-07 00:38:18.348651,2020-01-07 00:38:18.348651
PES4_200106_652_A01,Vip-IRES-Cre;Ai14-504181.08.02.01,998054215.0,200106,998051266.0,998052674.0,998052677.0,-78.21711044311523,211.65618300437927,0.17620714008808136,-99.3812484741211,31.052228329909685,3.0405654327665577,2.966602611106956,3.1258037446454328,34.3104133605957,3.25904,30.049999237060547,0.50358,35.10625076293945,0.6330600000000001,-59.87916564941406,3.31288,-78.6812515258789,0.82032,-59.474998474121094,0.7047200000000001,-47.8145866394043,3.2615000000000003,-52.68124771118164,0.50536,-49.0,0.6353000000000001,-59.87916564941406,3.31288,,,-59.474998474121094,0.7047200000000001,-42.602081298828125,-48.89999771118164,-43.662498474121094,69.0,830.0,70.0,3.258466666666667,0.5030600000000001,0.6325000000000001,0.07433581994129916,0.050779999999999936,109.1875,0.16500000000000006,,,,2020-01-06 23:50:42.143870,2020-01-06 23:50:42.143870
P8S4_200106_352_A01,Vip-IRES-Cre;Ai14-504181.11.02.02,998066414.0,200106,998058835.0,998062339.0,998062343.0,-65.52729225158691,213.86714279651642,0.09114203602075577,-90.29999542236328,17.23429500427301,1.559754455997844,1.715195955396145,1.6217636792964678,38.61041259765625,3.9139733333333333,43.89999771118164,0.50368,39.818748474121094,0.5233200000000001,-63.977081298828125,3.915486666666667,-65.8187484741211,1.12176,-64.26249694824219,0.52478,-63.889583587646484,3.915393333333333,-65.4749984741211,0.50494,-64.1875,0.5247,,,,,,,-38.0291633605957,-47.40625,-43.08749771118164,85.41666412353516,230.0,80.0,3.9134200000000003,0.5031800000000001,0.52278,0.00666642027761417,0.008859999999999979,24.251,0.9126760563380285,,,,2020-01-07 00:37:42.677100,2020-01-07 00:37:42.677100
PFS4_200106_703_A01,Vip-IRES-Cre;Ai14-504181.12.02.01,998076150.0,200106,998062190.0,998070926.0,998070929.0,-68.14240147517278,137.50000298023224,0.08460516482591629,-82.6500015258789,12.307477614446109,3.3283789154562844,2.316414450582993,3.5016886094572204,4.1541666984558105,5.25828,11.518750190734863,0.50358,2.3999998569488525,0.5852400000000001,-50.67499923706055,5.310053333333333,-69.6624984741211,0.5789000000000001,-50.02499771118164,0.6510400000000001,-43.21875,5.2612266666666665,-52.29375076293945,0.5083400000000001,-41.17499923706055,0.5881600000000001,-50.67499923706055,5.310053333333333,,,-50.02499771118164,0.6510400000000001,-39.92916488647461,-15.668749809265137,-40.26250076293945,119.0,930.0,130.0,5.257666666666667,0.5031800000000001,0.58462,0.07507885659311489,0.04021999999999992,87.07454545454546,0.19939759036144572,,,,2020-01-07 01:09:29.513748,2020-01-07 01:09:29.513748
